"id","kode","tahun","PER","PBR","ROE","DER","DPR"
"164","GMTD","2020","0","3.12","10.12","1.39","0"
"167","MASB","2020","0","0","0","0","0"
"170","AMAR","2020","265.78","2.14","0.8","0.6","0"
"173","RDTX","2020","5.98","0.52","8.21","2.75","135"
"176","TUGU","2020","12.54","0.43","3.45","0.23","26.1"
"179","YULE","2020","0","0","0","0","0"
"182","BBYB","2020","110.53","1.77","1.54","0.29","0.19"
"185","NIRO","2020","0","0","0","0","0"
"188","MTLA","2020","12.09","0.87","4.52","0","7.11"
"191","ASRI","2020","0","0.51","4.77","0.67","0"
"194","APLN","2020","0","0.5","0.46","0","0"
"197","BACA","2020","0","0","0","0","0"
"200","MCOR","2020","0","0","0","0","0"
"203","SFAN","2020","0","0","0","0","0"
"206","KIJA","2020","0","0.84","0.39","6.18","0"
"209","SKRN","2020","104.13","1.73","0.61","1.48","2"
"212","AGRS","2020","0","0","0","0","0"
"215","BABP","2020","0","0","0","0","0"
"218","BKSW","2020","0","0","0","0","0"
"221","BCAP","2020","0","0","0","0","0"
"224","MMLP","2020","0","0","0","0","0"
"227","AMOR","2020","28.21","7.86","35.59","0","22.5"
"230","BNBA","2020","24.91","0.58","2.31","0","3.51"
"233","VICO","2020","0","0","0","0","0"
"236","CFIN","2020","20.02","0.2","0.4","0","0"
"239","PNBS","2020","0","0","0","0","0"
"242","TRIM","2020","0","0","0","0","0"
"245","DILD","2020","29.71","0.44","0.5","0","0"
"248","IMJS","2020","0","1.06","0.25","0.86","0.25"
"251","LPCK","2020","0","0.6","33.31","0","0"
"254","BCIC","2020","0","0","0","0","0"
"257","BGTG","2020","0","0","0","0","0"
"260","DNAR","2020","0","0","0","0","0"
"263","AMAG","2020","10.54","0.56","5.42","0.25","50"
"266","BSBK","2020","0","0","0","0","0"
"268","SMIL","2020","0","0","0","0","0"
"271","OMRE","2020","0","0","0","0","0"
"274","INPC","2020","0","0","0","0","0"
"277","TIFA","2020","40.62","1.66","1.29","0","0"
"280","WOMF","2020","15.41","0.73","0.85","0","0"
"283","BEKS","2020","0","0","0","0","0"
"286","BVIC","2020","0","0","0","0","0"
"289","PANS","2020","10.98","0.68","3.16","0","100"
"292","ADCP","2020","0","0","2.95","0","0"
"295","POLL","2020","0","0","0","0","0"
"298","GWSA","2020","0","0","0","0","0"
"301","FMII","2020","0","0","0","0","0"
"304","LPGI","2020","5.47","0.59","10.87","0.73","139.5"
"307","BBLD","2020","30.2","0.5","0.44","0","4"
"310","BPFI","2020","49.68","2.39","4.92","0.65","0"
"313","RELI","2020","16.62","1.21","5.54","0","0"
"316","JIHD","2020","0","0","0","0","0"
"319","SMDM","2020","0","0","0","0","0"
"322","GSMF","2020","0","0","0","0","0"
"325","PPRO","2020","50.66","1.48","0.6","1.39","0"
"328","HDFA","2020","0","0","0","0","0"
"331","MDLN","2020","0","0.14","11.39","0.26","0"
"334","MREI","2020","23.14","1.39","6.28","0.48","50"
"337","TRIN","2020","0","0","0","0","0"
"340","VRNA","2020","0","0","0","0","0"
"343","AHAP","2020","19.59","1.95","8.26","0.38","0"
"346","ASRM","2020","6.76","1.02","13.85","1.22","11.5"
"349","INDO","2020","0","0","0","0","0"
"352","ELTY","2020","0","0","0","0","0"
"355","GOLD","2020","0","0","0","0","0"
"358","SAGE","2020","0","0","0","0","0"
"361","SWID","2020","0","0","0","0","0"
"363","BKDP","2020","0","0","0","0","0"
"366","URBN","2020","0","0","0","0","0"
"369","AMAN","2020","60.99","2.07","2.59","3.03","0.5"
"372","FUJI","2020","0","0","0","0","0"
"375","BPTR","2020","0","0","0","0","0"
"378","MTWI","2020","0","0","0","0","0"
"381","EMDE","2020","0","1.18","2.45","0","0"
"384","TRUS","2020","0","0","0","0","0"
"387","HOMI","2020","0","0","0","0","0"
"390","ASBI","2020","4.57","0.34","7.82","0.49","10"
"393","TRJA","2020","5.01","0.84","6.66","0.6","3"
"396","RODA","2020","0","0","0","0","0"
"399","CITY","2020","0","0","0","0","0"
"402","PEGE","2020","0","0.78","1.22","0","0"
"405","STAR","2020","0","0","0","0","0"
"408","VAST","2020","0","0","0","0","0"
"411","VINS","2020","21.38","0.72","3.35","0.17","3.4"
"414","SATU","2020","0","0","0","0","0"
"417","ESTA","2020","0","0","0","0","0"
"420","PAMG","2020","0","0","0","0","0"
"423","PURI","2020","40.75","3.25","3.73","0","1.45"
"426","ASDM","2020","6.38","0.49","7.82","0.22","47.5"
"429","NICK","2020","0","0","0","0","0"
"432","CBPE","2020","0","0","10.58","0","0"
"435","ASJT","2020","0","0.57","3.71","0.34","0"
"438","LPPS","2020","0","0","0","0","0"
"441","KREN","2020","0","0","0","0","0"
"444","ASPI","2020","0","0","0","0","0"
"447","JGLE","2020","0","0","0","0","0"
"450","NASA","2020","0","0","0","0","0"
"453","NZIA","2020","3.26","0.8","0.02","4.28","0"
"456","ASMI","2020","0","0","0","0","0"
"459","PUDP","2020","0","0.24","4.38","7.37","0"
"462","BIPP","2020","0","0","0","0","0"
"465","KOTA","2020","0","0","0","0","0"
"468","PADI","2020","0","0","0","0","0"
"471","MINA","2020","0","0","0","0","0"
"474","TRUE","2020","0","0","0","0","0"
"478","IPAC","2020","0","0","0","0","0"
"481","AKSI","2020","0","0","0","0","0"
"484","KBAG","2020","88.7","1.16","1.4","3.81","0.35"
"487","BCIP","2020","0","0","0","0","0"
"490","CSIS","2020","0","0","0","0","0"
"493","ATAP","2020","56.03","2.59","3.57","3.38","0.39"
"496","JMAS","2020","0","0","0","0","0"
"499","TARA","2020","0","0","0","0","0"
"502","REAL","2020","0","0","0","0","0"
"505","DADA","2020","0","0","0","0","0"
"508","POLA","2020","0","0","0","0","0"
"511","BIKA","2020","0","0","0","0","0"
"514","MGNA","2020","0","0","0","0","0"
"518","MTSM","2020","0","0","0","0","0"
"521","HDIT","2020","0","0","0","0","0"
"524","IBFN","2020","0","0","0","0","0"
