id,kode,tahun,PER,PBR,ROE,DER,DPR,Target
229,BNBA,2019,14.54,0.49,3.39,0,5.05,1
232,VICO,2019,0,0,0,0,0,0
235,CFIN,2019,3.2,0.25,3.12,0,0,0
238,PNBS,2019,0,0,0,0,0,0
241,TRIM,2019,0,0,0,0,0,0
244,DILD,2019,10.72,0.44,1.73,0,0,1
247,IMJS,2019,21.78,0.57,0.35,0.84,0,1
250,LPCK,2019,4.6,0.26,2.99,0,0,0
253,BCIC,2019,0,0,0,0,0,0
256,BGTG,2019,0,0,0,0,0,0
259,DNAR,2019,0,0,0,0,0,0
262,AMAG,2019,20.26,0.76,3.87,0.25,30,1
265,BSBK,2019,0,0,0,0,0,0
267,SMIL,2019,0,0,0,0,0,0
270,OMRE,2019,0,0,0,0,0,0
273,INPC,2019,0,0,0,0,0,0
276,TIFA,2019,7.84,0.7,2.42,0,0,1
279,WOMF,2019,3.7,0.7,3.04,0,22.4,1
282,BEKS,2019,0,0,0,0,0,0
285,BVIC,2019,0,0,0,0,0,0
288,PANS,2019,7.99,0.77,5.51,0,100,1
291,ADCP,2019,0,0,4.36,0,0,0
294,POLL,2019,0,0,0,0,0,0
297,GWSA,2019,0,0,0,0,0,0
300,FMII,2019,0,0,0,0,0,0
303,LPGI,2019,6.75,0.64,9.26,0.73,107,2
306,BBLD,2019,11.22,0.55,1.18,0,0,1
309,BPFI,2019,31.2,2.85,9.41,1.16,0,4
312,RELI,2019,0,0.83,0.61,0,0,1
315,JIHD,2019,0,0,0,0,0,0
318,SMDM,2019,0,0,0,0,0,0
321,GSMF,2019,0,0,0,0,0,0
324,PPRO,2019,16.05,1.05,1.45,1.55,0.56,2
327,HDFA,2019,0,0,0,0,0,0
330,MDLN,2019,6.46,0.43,0.67,0.91,0,1
333,MREI,2019,12.36,1.39,11.93,0.59,50,2
336,TRIN,2019,0,0,0,0,0,0
339,VRNA,2019,0,0,0,0,0,0
342,AHAP,2019,0,1.18,55.94,0.26,0,2
345,ASRM,2019,7.46,1.06,14.81,1.18,13.46,2
348,INDO,2019,0,0,0,0,0,0
351,ELTY,2019,0,0,0,0,0,0
354,GOLD,2019,0,0,0,0,0,0
357,SAGE,2019,0,0,0,0,0,0
360,SWID,2019,0,0,0,0,0,0
362,BKDP,2019,0,0,0,0,0,0
365,URBN,2019,0,0,0,0,0,0
368,AMAN,2019,0,0,1.95,2.46,0,1
371,FUJI,2019,0,0,0,0,0,0
374,BPTR,2019,0,0,0,0,0,0
377,MTWI,2019,0,0,0,0,0,0
380,EMDE,2019,0,0.98,1.63,0,0,1
383,TRUS,2019,0,0,0,0,0,0
386,HOMI,2019,0,0,0,0,0,0
389,ASBI,2019,13.41,0.37,2.8,0.5,5.7,1
392,TRJA,2019,0,0,5.55,0.38,0,0
395,RODA,2019,0,0,0,0,0,0
398,CITY,2019,0,0,0,0,0,0
401,PEGE,2019,18.88,1.2,4.74,0,6,2
404,STAR,2019,0,0,0,0,0,0
407,VAST,2019,0,0,0,0,0,0
410,VINS,2019,8.2,0.96,11.91,0.23,9.5,1
413,SATU,2019,0,0,0,0,0,0
416,ESTA,2019,0,0,0,0,0,0
419,PAMG,2019,0,0,0,0,0,0
422,PURI,2019,0,0,8.67,0,0,0
425,ASDM,2019,7.52,0.63,8.47,0.26,39,1
428,NICK,2019,0,0,0,0,0,0
431,CBPE,2019,0,0,0,0,0,0
434,ASJT,2019,58.35,0.34,0.57,0.44,0,1
437,LPPS,2019,0,0,0,0,0,0
440,KREN,2019,0,0,0,0,0,0
443,ASPI,2019,0,0,0,0,0,0
446,JGLE,2019,0,0,0,0,0,0
449,NASA,2019,0,0,0,0,0,0
452,NZIA,2019,421.38,3.65,0,4.18,1,10
455,ASMI,2019,0,0,0,0,0,0
458,PUDP,2019,22.7,0.29,0.84,4.07,1,2
461,BIPP,2019,0,0,0,0,0,0
464,KOTA,2019,0,0,0,0,0,0
467,PADI,2019,0,0,0,0,0,0
470,MINA,2019,0,0,0,0,0,0
473,TRUE,2019,0,0,0,0,0,0
476,RELF,2019,0,0,0,0,0,0
477,IPAC,2019,0,0,0,0,0,0
480,AKSI,2019,0,0,0,0,0,0
483,KBAG,2019,0,0,50.79,1.16,0,1
486,BCIP,2019,0,0,0,0,0,0
489,CSIS,2019,0,0,0,0,0,0
492,ATAP,2019,0,0,24.85,2.11,0,1
495,JMAS,2019,0,0,0,0,0,0
498,TARA,2019,0,0,0,0,0,0
501,REAL,2019,0,0,0,0,0,0
504,DADA,2019,0,0,0,0,0,0
507,POLA,2019,0,0,0,0,0,0
510,BIKA,2019,0,0,0,0,0,0
513,MGNA,2019,0,0,0,0,0,0
516,WIDI,2019,0,0,0,0,0,0
517,MTSM,2019,0,0,0,0,0,0
520,HDIT,2019,0,0,0,0,0,0
523,IBFN,2019,0,0,0,0,0,0
2,BBCA,2020,30.76,4.52,15.13,0.07,106,7
5,BBRI,2020,27.57,2.25,8.61,0.86,96.49,8
8,BMRI,2020,17.56,1.56,8.53,0.54,110.14,3
11,BBNI,2020,35.07,1.04,2.82,0.55,22.01,8
14,BRIS,2020,42.05,1.02,16.31,0.11,0,9
17,SMMA,2020,138.81,3.63,0.1,0.37,0,5
20,MEGA,2020,16.67,2.75,17.83,0.72,178.86,9
23,BNGA,2020,12.33,0.6,4.77,0.48,44.06,1
26,TOWR,2020,16.98,4.72,9.16,0.42,28.09,6
29,ARTO,2020,0,0,0,0,0,0
32,BNLI,2020,117.37,2.41,2.44,0.34,0,3
35,NISP,2020,8.95,0.63,7.31,0.28,0,1
38,CASA,2020,0,0,0,0,0,0
41,PNBN,2020,8.26,0.58,7.25,0.5,0,1
44,BDMN,2020,30.46,0.71,2.29,0.47,36.08,1
47,MKPI,2020,114.8,4.73,3.1,0,106,6
50,BTPN,2020,14.32,0.8,5.73,1.45,0,2
53,BINA,2020,0,0,0,0,0,0
56,CTRA,2020,13.82,1.19,3.5,0,8.5,1
59,SRTG,2020,1.07,0.29,28.6,0,22,2
62,BBHI,2020,0,0,0,0,0,0
65,BSDE,2020,86.76,0.85,0.49,2.37,0,2
68,PWON,2020,26.41,1.68,3.54,0,0,2
71,BNII,2020,20.82,0.98,4.77,0.9,3.32,2
74,BBTN,2020,11.4,0.91,7.31,2.5,0,2
77,BSIM,2020,0,0,0,0,0,0
80,BBSI,2020,0,0,0,0,0,0
83,MPRO,2020,0,0,0,0,0,0
86,BFIN,2020,11.94,1.27,4.09,0,18,2
89,BANK,2020,0,0,0,0,0,0
92,ADMF,2020,8.75,1.13,12.82,2.14,513,4
95,LIFE,2020,30.4,1.25,4.19,0.28,243,2
98,APIC,2020,0,0,0,0,0,0
101,BBKP,2020,0,0,0,0,0,0
104,INPP,2020,0,1.57,6.13,3.71,0,3
107,BJBR,2020,9.04,1.28,14.09,1.61,95.48,3
110,BMAS,2020,28.52,1.49,5.33,0.39,2.89,2
113,PLIN,2020,0,0.81,4.72,2.95,86,2
116,RISE,2020,0,0,0,0,0,0
119,JRPT,2020,8.06,1.08,8.17,0,22,2
122,BTPS,2020,33.79,4.91,15.16,0.05,33,6
125,SMRA,2020,64.58,1.7,0.73,1.42,0,3
128,BJTM,2020,6.86,1.02,15.52,0.36,48.85,2
131,MAYA,2020,814.61,4.05,0.51,0.48,0,9
134,MFIN,2020,15.04,1.12,3.9,0,19,1
137,DUTI,2020,13.17,0.83,3.88,0,0,1
140,DMAS,2020,8.8,2.15,18.76,3.21,31.5,5
143,BBMD,2020,18.75,1.51,8.7,0,29.79,2
146,SDRA,2020,9.09,0.67,7.55,1.52,9.47,2
149,AGRO,2020,707.84,5.15,0.71,0.11,0,10
152,BKSL,2020,0,0,0,0,0,0
155,LPKR,2020,0,0.78,16.63,3.13,0,3
158,KPIG,2020,0,0,0,0,0,0
161,NOBU,2020,0,0,0,0,0,0
164,GMTD,2020,0,3.12,10.12,1.39,0,4
167,MASB,2020,0,0,0,0,0,0
170,AMAR,2020,265.78,2.14,0.8,0.6,0,4
173,RDTX,2020,5.98,0.52,8.21,2.75,135,2
176,TUGU,2020,12.54,0.43,3.45,0.23,26.1,1
179,YULE,2020,0,0,0,0,0,0
182,BBYB,2020,110.53,1.77,1.54,0.29,0.19,3
185,NIRO,2020,0,0,0,0,0,0
188,MTLA,2020,12.09,0.87,4.52,0,7.11,1
191,ASRI,2020,0,0.51,4.77,0.67,0,1
194,APLN,2020,0,0.5,0.46,0,0,1
197,BACA,2020,0,0,0,0,0,0
200,MCOR,2020,0,0,0,0,0,0
203,SFAN,2020,0,0,0,0,0,0
206,KIJA,2020,0,0.84,0.39,6.18,0,3
209,SKRN,2020,104.13,1.73,0.61,1.48,2,3
212,AGRS,2020,0,0,0,0,0,0
215,BABP,2020,0,0,0,0,0,0
218,BKSW,2020,0,0,0,0,0,0
221,BCAP,2020,0,0,0,0,0,0
224,MMLP,2020,0,0,0,0,0,0
227,AMOR,2020,28.21,7.86,35.59,0,22.5,10
230,BNBA,2020,24.91,0.58,2.31,0,3.51,1
233,VICO,2020,0,0,0,0,0,0
236,CFIN,2020,20.02,0.2,0.4,0,0,0
239,PNBS,2020,0,0,0,0,0,0
242,TRIM,2020,0,0,0,0,0,0
245,DILD,2020,29.71,0.44,0.5,0,0,1
248,IMJS,2020,0,1.06,0.25,0.86,0.25,1
251,LPCK,2020,0,0.6,33.31,0,0,2
254,BCIC,2020,0,0,0,0,0,0
257,BGTG,2020,0,0,0,0,0,0
260,DNAR,2020,0,0,0,0,0,0
263,AMAG,2020,10.54,0.56,5.42,0.25,50,1
266,BSBK,2020,0,0,0,0,0,0
268,SMIL,2020,0,0,0,0,0,0
271,OMRE,2020,0,0,0,0,0,0
274,INPC,2020,0,0,0,0,0,0
277,TIFA,2020,40.62,1.66,1.29,0,0,2
280,WOMF,2020,15.41,0.73,0.85,0,0,1
283,BEKS,2020,0,0,0,0,0,0
286,BVIC,2020,0,0,0,0,0,0
289,PANS,2020,10.98,0.68,3.16,0,100,1
292,ADCP,2020,0,0,2.95,0,0,0
295,POLL,2020,0,0,0,0,0,0
298,GWSA,2020,0,0,0,0,0,0
301,FMII,2020,0,0,0,0,0,0
304,LPGI,2020,5.47,0.59,10.87,0.73,139.5,2
307,BBLD,2020,30.2,0.5,0.44,0,4,1
310,BPFI,2020,49.68,2.39,4.92,0.65,0,3
313,RELI,2020,16.62,1.21,5.54,0,0,2
316,JIHD,2020,0,0,0,0,0,0
319,SMDM,2020,0,0,0,0,0,0
322,GSMF,2020,0,0,0,0,0,0
325,PPRO,2020,50.66,1.48,0.6,1.39,0,2
328,HDFA,2020,0,0,0,0,0,0
331,MDLN,2020,0,0.14,11.39,0.26,0,1
334,MREI,2020,23.14,1.39,6.28,0.48,50,2
337,TRIN,2020,0,0,0,0,0,0
340,VRNA,2020,0,0,0,0,0,0
343,AHAP,2020,19.59,1.95,8.26,0.38,0,3
346,ASRM,2020,6.76,1.02,13.85,1.22,11.5,2
349,INDO,2020,0,0,0,0,0,0
352,ELTY,2020,0,0,0,0,0,0
355,GOLD,2020,0,0,0,0,0,0
358,SAGE,2020,0,0,0,0,0,0
361,SWID,2020,0,0,0,0,0,0
363,BKDP,2020,0,0,0,0,0,0
366,URBN,2020,0,0,0,0,0,0
369,AMAN,2020,60.99,2.07,2.59,3.03,0.5,4
372,FUJI,2020,0,0,0,0,0,0
375,BPTR,2020,0,0,0,0,0,0
378,MTWI,2020,0,0,0,0,0,0
381,EMDE,2020,0,1.18,2.45,0,0,1
384,TRUS,2020,0,0,0,0,0,0
387,HOMI,2020,0,0,0,0,0,0
390,ASBI,2020,4.57,0.34,7.82,0.49,10,1
393,TRJA,2020,5.01,0.84,6.66,0.6,3,1
396,RODA,2020,0,0,0,0,0,0
399,CITY,2020,0,0,0,0,0,0
402,PEGE,2020,0,0.78,1.22,0,0,1
405,STAR,2020,0,0,0,0,0,0
408,VAST,2020,0,0,0,0,0,0
411,VINS,2020,21.38,0.72,3.35,0.17,3.4,1
414,SATU,2020,0,0,0,0,0,0
417,ESTA,2020,0,0,0,0,0,0
420,PAMG,2020,0,0,0,0,0,0
423,PURI,2020,40.75,3.25,3.73,0,1.45,4
426,ASDM,2020,6.38,0.49,7.82,0.22,47.5,1
429,NICK,2020,0,0,0,0,0,0
432,CBPE,2020,0,0,10.58,0,0,1
435,ASJT,2020,0,0.57,3.71,0.34,0,1
438,LPPS,2020,0,0,0,0,0,0
441,KREN,2020,0,0,0,0,0,0
444,ASPI,2020,0,0,0,0,0,0
447,JGLE,2020,0,0,0,0,0,0
450,NASA,2020,0,0,0,0,0,0
453,NZIA,2020,3.26,0.8,0.02,4.28,0,3
456,ASMI,2020,0,0,0,0,0,0
459,PUDP,2020,0,0.24,4.38,7.37,0,3
462,BIPP,2020,0,0,0,0,0,0
465,KOTA,2020,0,0,0,0,0,0
468,PADI,2020,0,0,0,0,0,0
471,MINA,2020,0,0,0,0,0,0
474,TRUE,2020,0,0,0,0,0,0
478,IPAC,2020,0,0,0,0,0,0
481,AKSI,2020,0,0,0,0,0,0
484,KBAG,2020,88.7,1.16,1.4,3.81,0.35,3
487,BCIP,2020,0,0,0,0,0,0
490,CSIS,2020,0,0,0,0,0,0
493,ATAP,2020,56.03,2.59,3.57,3.38,0.39,5
496,JMAS,2020,0,0,0,0,0,0
499,TARA,2020,0,0,0,0,0,0
502,REAL,2020,0,0,0,0,0,0
505,DADA,2020,0,0,0,0,0,0
508,POLA,2020,0,0,0,0,0,0
511,BIKA,2020,0,0,0,0,0,0
514,MGNA,2020,0,0,0,0,0,0
518,MTSM,2020,0,0,0,0,0,0
521,HDIT,2020,0,0,0,0,0,0
524,IBFN,2020,0,0,0,0,0,0
